2017-09-02,2017-09-08,153.1275
2017-09-02,2017-09-09,54.7925
2017-09-02,2017-09-10,4.31
2017-09-02,2017-09-11,41.2
2017-09-02,2017-09-12,60.4205
2017-09-02,2017-09-13,46.57
2017-09-02,2017-09-14,42.23
2017-09-02,2017-09-15,2.72
2017-09-02,2017-09-16,15.832
2017-09-02,2017-09-17,35.03
2017-09-02,2017-09-18,66.586
2017-09-02,2017-09-19,37.92
2017-09-02,2017-09-20,94.75
2017-09-02,2017-09-21,60.3005
2017-09-02,2017-09-22,5.078
2017-09-02,2017-09-23,599.8
2017-09-02,2017-09-24,18.02
2017-09-02,2017-09-25,0.67
2017-09-02,2017-09-26,2.19
2017-09-02,2017-09-27,603.09
2017-09-02,2017-09-28,748.72
2017-09-02,2017-09-29,604.145
2017-09-02,2017-09-30,3.45
2017-09-02,2017-10-01,5.04
2017-09-02,2017-10-02,15.67
2017-09-02,2017-10-03,14.22
2017-09-02,2017-10-04,24.34
2017-09-02,2017-10-05,1.09
2017-09-02,2017-10-06,22.01
2017-09-02,2017-10-07,6.37
2017-09-02,2017-10-08,7.1
2017-09-02,2017-10-09,1.56
2017-09-02,2017-10-10,8.970000000000001
2017-09-02,2017-10-11,3.81
2017-09-02,2017-10-12,20.79
2017-09-02,2017-10-13,0.8
2017-09-02,2017-10-14,1.36
2017-09-02,2017-10-15,2.79
2017-09-02,2017-10-16,0.7
2017-09-02,2017-10-17,39.715
2017-09-02,2017-10-18,60.15
2017-09-02,2017-10-19,26.145
2017-09-02,2017-10-20,14.46
2017-09-02,2017-10-21,15.28
2017-09-02,2017-10-22,67.05
2017-09-02,2017-10-23,67.72
2017-09-02,2017-10-24,110.06
2017-09-02,2017-10-25,27.69
2017-09-02,2017-10-26,633.89
2017-09-02,2017-10-27,68.40000000000001
2017-09-02,2017-10-28,16.39
2017-09-02,2017-10-29,4.69
2017-09-02,2017-10-30,50.29
2017-09-02,2017-10-31,18.31
2017-09-02,2017-11-01,59.09
2017-09-02,2017-11-02,27.04
2017-09-02,2017-11-03,7.9
2017-09-02,2017-11-04,225.84
2017-09-02,2017-11-05,129.72
2017-09-02,2017-11-06,21.505
2017-09-02,2017-11-07,32.265
2017-09-02,2017-11-08,15.3
2017-09-02,2017-11-09,24.4
2017-09-02,2017-11-10,13.08
2017-09-02,2017-11-11,25.32
2017-09-02,2017-11-12,24.74
2017-09-02,2017-11-13,20.52
2017-09-02,2017-11-14,53.5
2017-09-02,2017-11-15,5.96
2017-09-02,2017-11-16,614.8
2017-09-02,2017-11-17,7.28
2017-09-02,2017-11-18,20.225
2017-09-02,2017-11-19,16.605
2017-09-02,2017-11-20,12.42
2017-09-02,2017-11-21,11.5
2017-09-02,2017-11-22,12.46
2017-09-02,2017-11-23,27.2
2017-09-02,2017-11-24,7.2
2017-09-02,2017-11-25,7
2017-09-02,2017-11-26,39.2
2017-09-02,2017-11-27,19.2
2017-09-02,2017-11-28,8
2017-09-02,2017-11-29,1.2
2017-09-02,2017-11-30,11.2
2017-09-02,2017-12-01,38.52
2017-09-02,2017-12-02,15.4
2017-09-02,2017-12-03,18.22
2017-09-02,2017-12-04,15.3
2017-09-02,2017-12-05,3.16
2017-09-02,2017-12-06,32.36
2017-09-02,2017-12-07,96.26000000000001
2017-09-02,2017-12-08,7.14
2017-09-02,2017-12-09,14.98
2017-09-02,2017-12-10,22.72
2017-09-02,2017-12-11,9.720000000000001
2017-09-02,2017-12-12,25.3
2017-09-02,2017-12-13,9.1
2017-09-02,2017-12-14,28.68
2017-09-02,2017-12-15,6.6
2017-09-02,2017-12-16,29.06
2017-09-02,2017-12-17,3.8
2017-09-02,2017-12-18,30.58
2017-09-02,2017-12-19,2.3
2017-09-02,2017-12-20,1.66
2017-09-02,2017-12-21,56.22
2017-09-02,2017-12-22,10.62
2017-09-02,2017-12-23,6.06
2017-09-02,2017-12-24,11.86
